Description,Zone,Response_Price,Profile,REF_2016,REF_2017,REF_2018,REF_2019,REF_2020,REF_2021,REF_2022,REF_2023,REF_2024,REF_2025,REF_2026,REF_2027,REF_2028,REF_2029,REF_2030,REF_2031,REF_2032,REF_2033,REF_2034,REF_2035,REF_2040,REF_2045,REF_2050,HIG_2016,HIG_2017,HIG_2018,HIG_2019,HIG_2020,HIG_2021,HIG_2022,HIG_2023,HIG_2024,HIG_2025,HIG_2026,HIG_2027,HIG_2028,HIG_2029,HIG_2030,HIG_2031,HIG_2032,HIG_2033,HIG_2034,HIG_2035,HIG_2040,HIG_2045,HIG_2050,LOW_2016,LOW_2017,LOW_2018,LOW_2019,LOW_2020,LOW_2021,LOW_2022,LOW_2023,LOW_2024,LOW_2025,LOW_2026,LOW_2027,LOW_2028,LOW_2029,LOW_2030,LOW_2031,LOW_2032,LOW_2033,LOW_2034,LOW_2035,LOW_2040,LOW_2045,LOW_2050
DK2_Heating_2,DK2,150,D_DK2_HEAT,0,0,21092,33201,55397,97978,183687,227682,362290,450183,611615,849962,939046,1034833,1368294,1409298,1499772,1547106,1623215,1690629,1920768,2093508,2195509,0,0,0,33201,55397,97978,183687,227682,362290,450183,530899,650073,694615,742508,909239,929741,974978,998645,1036699,1070406,1185476,1271846,1322846,0,0,0,33201,55397,97978,183687,227682,338933,450183,627758,889940,987932,1093298,1460105,1505210,1604731,1656798,1740518,1814674,2067827,2257841,2370042
DK2_Heating_3,DK2,5000,D_DK2_HEAT,0,0,921950,863777,857830,903041,1007672,1112303,1216934,1321564,1456148,1590732,1725316,1859900,1994484,2129068,2263652,2398236,2532820,2667404,3140415,3489079,3694962,0,0,0,863777,857830,903041,1007672,1112303,1216934,1321564,1388856,1456148,1523440,1590732,1658024,1725316,1792608,1859900,1927192,1994484,2230990,2405322,2508263,0,0,0,863777,857830,903041,1007672,1112303,1216934,1321564,1469606,1617649,1765691,1913734,2061776,2209818,2357861,2505903,2653946,2801988,3322300,3705831,3932302
ESP_Households_and_services,ESP,5000,D_ESP_RES,0,0,212812150,185829531,185829531,185829531,185829531,185829531,185829531,185829531,185829531,185829531,185829531,185829531,185829531,187029531,188229531,189429531,190629531,191829531,197829531,193253360,192167413,0,0,0,185829531,185829531,185829531,185829531,185829531,185829531,185829531,185829531,185829531,185829531,185829531,185829531,187619531,189409531,191199531,192989531,194779531,203729531,199153360,198067413,0,0,0,185829531,185829531,185829531,185829531,185829531,189079531,192329531,193629531,194929531,196229531,197529531,198829531,200929531,203029531,205129531,207229531,209329531,219829531,215253360,214167413
ESP_Industry,ESP,5000,D_ESP_RES,0,0,58251870,50601469,48071395,51301469,52001469,52701469,53401469,54101469,54801469,55501469,56201469,56901469,57601469,57921801,58242133,58562465,58882797,59203129,59583210,59673405,59694809,0,0,0,50601469,48071395,51301469,52001469,52701469,51601469,50501469,49401469,49201469,49001469,48801469,48601469,48921801,49242133,49562465,49882797,50203129,50583210,50673405,50694809,0,0,0,50601469,48071395,51301469,52001469,52701469,53401469,54101469,54801469,55501469,56201469,56901469,57601469,57921801,58242133,58562465,58882797,59203129,59583210,59673405,59694809
ESP_Transport,ESP_EV,5000,D_DEFAULT_EV,0,0,121980,94068,219564,682382,1145200,1608017,2070835,2533653,4049222,5564792,7080361,8595931,10111500,11989350,13867200,15745050,17622900,19500750,28890000,37712883,44539861,0,0,0,94068,219564,682382,1145200,1608017,2036112,2464207,2892302,3974851,5057401,6139950,7222500,9462731,11702962,13943192,16183423,18423654,27556769,35003661,41075654,0,0,0,94068,219564,682382,1145200,1608017,2613761,3619504,5784603,7949703,10114802,12279901,14445000,20463972,26482944,32501917,38520889,44539861,54102591,59749287,63083605
ESP_Heating,ESP,5000,D_ESP_HEAT,0,0,0,0,2559091,5118182,7677273,10236364,12795455,15354545,17913636,20472727,23031818,25590909,28150000,29321084,30492168,31663252,32834336,34005420,35394939,35724678,35802926,0,0,0,0,2559091,5118182,7677273,10236364,12115455,13994545,15873636,18092727,20311818,22530909,24750000,25765494,26780988,27796483,28811977,29827471,31032378,31318309,31386161,0,0,0,0,2559091,5118182,7677273,10236364,12795455,15354545,17913636,20472727,23031818,25590909,28150000,29321084,30492168,31663252,32834336,34005420,35394939,35724678,35802926
EST_Households_and_services,EST,5000,D_EST_RES,5606580,5443073,5604567,5481064,5481064,5508064,5535064,5562064,5589064,5616064,5643064,5670064,5697064,5724064,5751064,5747064,5743064,5739064,5735064,5731064,5711064,5701912,5699740,5560445,5389784,5556744,5481064,5481064,5508064,5535064,5562064,5589064,5511064,5517064,5523064,5529064,5535064,5541064,5516064,5491064,5466064,5441064,5416064,5291064,5281912,5279740,5560445,5389784,5556744,5481064,5481064,5508064,5535064,5562064,5589064,5616064,5643064,5670064,5697064,5724064,5751064,5747064,5743064,5739064,5735064,5731064,5711064,5701912,5699740
EST_Industry,EST,5000,D_EST_RES,2887642,3020378,3077068,2746032,2676032,2750832,2755632,2760432,2765232,2770032,2774832,2779632,2784432,2789232,2794032,2798082,2802132,2806182,2810232,2814282,2834532,2843799,2845998,2869772,2998467,3057931,2746032,2676032,2750832,2755632,2760432,2765232,2751282,2752332,2753382,2754432,2755482,2756532,2756832,2757132,2757432,2757732,2758032,2759532,2768799,2770998,2869772,2998467,3057931,2746032,2676032,2750832,2755632,2760432,2765232,2770032,2774832,2779632,2784432,2789232,2794032,2798082,2802132,2806182,2810232,2814282,2834532,2843799,2845998
EST_Transport_1,EST,5000,D_EST_RES,34086,33288,28640,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,33805,32962,28395,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,33805,32962,28395,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677
EST_Transport_2,EST_EV,5000,D_DEFAULT_EV,18692,17753,18726,18167,32334,62334,92334,122334,152334,182334,294334,406334,518334,630334,742334,819334,896334,973334,1050334,1127334,1512334,1661205,1776398,18538,17580,18566,18167,32334,62334,92334,122334,152334,182334,294334,406334,518334,630334,742334,819334,896334,973334,1050334,1127334,1512334,1661205,1776398,18538,17580,18566,18167,32334,62334,92334,122334,424334,522334,620334,718334,816334,914334,1012334,1128334,1244334,1360334,1476334,1592334,2172334,2171549,2171085
EST_Heating,EST,5000,D_EST_HEAT,0,0,0,0,6818,20455,34091,47727,61364,75000,88637,102273,115909,129546,143182,156182,169182,182182,195182,208182,273182,302927,309986,0,0,0,0,6818,20455,34091,47727,61364,75000,88637,102273,115909,129546,143182,156182,169182,182182,195182,208182,273182,302927,309986,0,0,0,0,6818,20455,34091,47727,113364,140000,166637,193273,219909,246546,273182,293182,313182,333182,353182,373182,473182,518944,529803
FIN_Transport_1,FIN_EV,5000,D_DEFAULT_EV,10389,22927,48112,74928,107490,300475,493460,686446,879431,1072416,1332426,1592436,1852446,2112456,2372466,2646921,2921376,3195831,3470286,3744741,5117016,5855102,6096958,10372,22884,48008,74928,107490,300475,493460,686446,879431,1072416,1332426,1592436,1852446,2112456,2372466,2646921,2921376,3195831,3470286,3744741,5117016,5855102,6096958,10372,22884,48008,74928,107490,300475,493460,686446,1689314,2692182,3209120,3726059,4242997,4759936,5276874,5793813,6310751,6827689,7344628,7861566,8362350,8378000,8378489
FIN_Heating_1,FIN,5000,D_FIN_RES,22855,23969,21964,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,22817,23924,21917,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,22817,23924,21917,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057,27057
FIN_Households_and_services,FIN,5000,D_FIN_RES,43364311,43305563,44387458,43605089,44386699,44090201,43793703,43497206,43200708,42904211,42607713,42311215,42014718,41718220,41421723,42417497,43413271,44409045,45404819,46400593,42071254,37741915,40132272,43292904,43224550,44291559,43605089,44386699,44090201,43793703,43497206,43200708,44170877,44127713,44084549,44041385,43998220,43955056,43537496,43119937,42702378,42284819,41867260,41321234,41541915,43932272,43292904,43224550,44291559,43605089,44386699,44090201,43793703,43497206,39450708,35404211,33607713,31811215,30014718,28218220,26421723,29550830,32679937,35809045,38938152,42067260,41904588,41741915,41741915
FIN_Industry_1,FIN,5000,D_FIN_RES,6963513,7913908,8181123,7890355,7510355,6690355,8010355,9330355,10650355,11970355,13290355,14610355,15930355,17250355,18570355,20983460,23396564,25809668,28222772,30635876,42142961,53517526,53527311,6952047,7899103,8163448,7890355,7510355,6690355,8010355,9330355,10650355,9071689,10127689,11183689,12239689,13295689,14351689,16282173,18212656,20143139,22073622,24004105,33209773,42309426,42317253,6952047,7899103,8163448,7890355,7510355,6690355,8010355,9330355,13650355,17970355,20490355,23010355,25530355,28050355,30570355,34183460,37796564,41409668,45022772,48635876,74809628,100850860,100860644
FIN_Transport_2,FIN,5000,D_FIN_RES,725128,784721,833592,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,723934,783253,831791,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,723934,783253,831791,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007,819007
FIN_Industry_2,FIN,5000,D_DEFAULT_Flat,33687540,32998020,33575340,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33687540,32998020,33575340,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33687540,32998020,33575340,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760,33290760
FIN_Heating_2,FIN,5000,D_FIN_HEAT,381264,417893,419411,378804,628804,878804,1128804,1378804,1628804,1878804,2128804,2378804,2628804,2878804,3128804,3378804,3628804,3878804,4128804,4378804,3378804,2378804,2185054,380636,417111,418505,378804,628804,878804,1128804,1378804,1628804,1878804,2128804,2378804,2628804,2878804,3128804,3378804,3628804,3878804,4128804,4378804,3378804,2378804,2185054,380636,417111,418505,378804,628804,878804,1128804,1378804,2628804,3878804,4528804,5178804,5828804,6478804,7128804,7778804,8428804,9078804,9728804,10378804,9878804,9378804,9281929
FRA_Transport_1,FRA_EV,5000,D_DEFAULT_EV,160767,211117,264932,359318,1086341,1929929,2773517,3617105,4460693,5304281,7615481,9926681,12237881,14549081,16860281,20327081,23793881,27260681,30727481,34194281,47265218,57379261,65205314,159587,209453,262832,359318,1086341,1929929,2773517,3617105,4460693,5304281,7615481,9926681,12237881,14549081,16860281,20327081,23793881,27260681,30727481,34194281,47265218,57379261,65205314,159587,209453,262832,359318,1086341,1929929,2773517,3617105,7044945,10472786,14851389,19229991,23608593,27987195,32365797,38933700,45501604,52069507,58637410,65205314,76167474,82640519,86462788
FRA_Heating_1,FRA,5000,D_FRA_RES,3341,3048,3949,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,3317,3024,3918,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,3317,3024,3918,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346,4346
FRA_Households_and_services,FRA,5000,D_FRA_RES,343865328,342335233,340279921,335677007,335677007,333377007,331077007,328777007,326957959,325138912,323319864,321500817,319681769,317862721,316043674,311817007,307590340,303363673,299137007,294910340,300732562,306554785,312377007,341341753,339637051,337583094,335677007,335677007,333377007,331077007,328777007,326957959,325138912,323319864,321500817,319681769,317862721,316043674,311817007,307590340,303363673,299137007,294910340,280777007,273277007,265777007,341341753,339637051,337583094,335677007,335677007,333377007,331077007,328777007,326127007,323477007,319110340,314743674,310377007,306010340,301643674,299767007,297890340,296013673,294137007,292260340,282877007,288177007,293477007
FRA_Industry,FRA,5000,D_FRA_RES,133394485,132113384,133033421,131795640,128270640,132695640,133595640,134495640,135395640,136295640,137195640,138095640,138995640,139895640,140795640,141695640,142595640,143495640,144395640,145295640,149795640,162495640,175195640,132888824,131576608,132479323,131795640,128270640,132695640,133595640,134495640,134363140,134230640,134098140,133965640,134275640,134585640,134895640,135385640,135875640,136365640,136855640,137345640,139795640,151295640,156295640,132888824,131576608,132479323,131795640,128270640,132695640,133595640,134495640,135395640,136295640,137195640,138095640,138995640,139895640,140795640,142087140,143378640,144670140,145961640,147253140,153710640,168270640,182830640
FRA_Transport_2,FRA,5000,D_FRA_RES,11341324,11395243,10806918,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,11258092,11305430,10721270,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,11258092,11305430,10721270,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687,10700687
FRA_Heating_2,FRA,5000,D_FRA_HEAT,29732,48080,70369,114286,1511831,2909377,4306922,5704468,7102013,8499559,9897104,11294650,12692195,14089741,15487286,17187286,18887286,20587286,22287286,23987286,32487286,34987286,37487286,29513,47701,69812,114286,1511831,2909377,4306922,5704468,7102013,8499559,9897104,11294650,12692195,14089741,15487286,17187286,18887286,20587286,22287286,23987286,32487286,34987286,37487286,29513,47701,69812,114286,1511831,2909377,4306922,5704468,7102013,8499559,9897104,11294650,12692195,14089741,15487286,17187286,18887286,20587286,22287286,23987286,32487286,34987286,37487286
GBR_Transport,GBR_EV,5000,D_DEFAULT_EV,0,0,257988,804271,1350553,1704668,2151631,2715788,3427866,4326650,5461096,6892993,8700332,10981555,13860913,19969730,26078548,32187365,38296183,44405000,55946794,70488544,88810000,0,0,0,804271,1350553,1704668,2151631,2715788,3414906,4307028,5432212,6851343,8641213,10898675,13745884,19770707,25795530,31820354,37845177,43870000,55272736,69639284,87740000,0,0,0,804271,1350553,1704668,2151631,2715788,3559742,4403695,5574717,7057135,8933754,11309400,14316773,20762418,27208064,33653709,40099355,46545000,58643025,73885582,93090000
GBR_Households_and_services,GBR,5000,D_GBR_RES,0,0,284189929,259839085,249454691,242504265,245449500,246081234,246712968,247344701,247976435,246697585,245418735,244139885,242861035,242907828,242954621,243001414,243048207,243095000,243587735,248448210,252134895,0,0,0,259839085,249454691,242504265,245449500,246081234,246712968,247344701,247976435,245697585,243418735,242139885,240861035,241348671,241836307,242323943,242811579,243299215,245689145,253681485,255837000,0,0,0,259839085,249454691,242504265,245449500,246081234,246712968,247344701,247976435,246697585,245418735,244139885,242861035,242907828,242954621,243001414,243048207,243095000,243587735,248583470,263942250
GBR_Industry,GBR,5000,D_GBR_RES,0,0,48735918,47459315,44950459,47070905,46702290,46486685,46172640,45836125,45450390,45053955,44648425,44234870,44025685,44009100,43992515,43975930,43959345,43942760,45191985,48204570,49903195,0,0,0,47459315,44950459,47070905,46702290,46486685,46172640,45836125,45450390,45053955,44648425,44234870,44025685,44009100,43992515,43975930,43959345,43942760,43859568,43776375,42297100,0,0,0,47459315,44950459,47070905,46702290,46486685,46172640,45836125,45450390,45053955,44648425,44234870,44025685,44009100,43992515,43975930,43959345,43942760,45191985,48538410,54901700
GBR_Heating,GBR,5000,D_GBR_HEAT,0,0,0,0,0,333840,671960,1320380,1934560,2692120,3432560,4100240,4696230,5364980,5834710,6990952,8147194,9303436,10459678,11615920,13513030,19180820,20967720,0,0,0,0,0,333840,671960,1320380,1449850,1853240,2230950,2765950,3312720,3886240,4373090,4946824,5520558,6094292,6668026,7241760,11750740,18329100,24318960,0,0,0,0,0,333840,671960,1320380,4368810,7417240,9403160,12198000,14625830,16827890,18680060,22008188,25336316,28664444,31992572,35320700,47815090,56142900,62196960
HUN_Transport_1,HUN_EV,5000,D_DEFAULT_EV,26664,26483,31832,47023,59114,66048,72981,79915,86848,93782,609469,1099371,1564778,2006914,2426944,2788015,3149086,3510158,3871229,4232301,5629251,6710185,7546591,26396,26248,31578,47023,59114,66048,72981,79915,86848,93782,609469,1099371,1564778,2006914,2426944,2788015,3149086,3510158,3871229,4232301,5629251,6710185,7546591,26396,26248,31578,47023,59114,66048,72981,79915,86848,93782,1081964,1956152,2786630,3575584,4325090,4969390,5613690,6257990,6902290,7546591,8718167,9409970,9818474
HUN_Heating,HUN,5000,D_HUN_RES,0,0,0,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,0,0,0,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,0,0,0,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152,25152
HUN_Households_and_services,HUN,5000,D_HUN_RES,22189801,22675792,23025634,23260873,23260873,23420873,23580873,23740873,23900873,24060873,24220873,24380873,24540873,24700873,24860873,24730873,24600873,24470873,24340873,24210873,23560873,23263422,23192835,21966591,22474700,22841541,23260873,23260873,23420873,23580873,23740873,23900873,24060873,24220873,24380873,24540873,24700873,24860873,24730873,24600873,24470873,24340873,24210873,23560873,23263422,23192835,21966591,22474700,22841541,23260873,23260873,23420873,23580873,23740873,23900873,24060873,24220873,24380873,24540873,24700873,24860873,24730873,24600873,24470873,24340873,24210873,23560873,23263422,23192835
HUN_Industry,HUN,5000,D_HUN_RES,18330564,19094246,19593489,20099717,19666207,20139717,20179717,20219717,20259717,20299717,20339717,20379717,20419717,20459717,20499717,20507717,20515717,20523717,20531717,20539717,20579717,20598022,20602365,18222932,18994865,19500552,20099717,19666207,20139717,20179717,20219717,20080717,20112717,20144717,20176717,20208717,20240717,20272717,20279117,20285517,20291917,20298317,20304717,20336717,20351361,20354836,18222932,18994865,19500552,20099717,19666207,20139717,20179717,20219717,20259717,20299717,20339717,20379717,20419717,20459717,20499717,20507717,20515717,20523717,20531717,20539717,20579717,20598022,20602365
HUN_Transport_2,HUN,5000,D_HUN_RES,1280971,1306479,1293045,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1268086,1294893,1282707,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1268086,1294893,1282707,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236,1265236
IRL_Transport,IRL_EV,5000,D_DEFAULT_EV,0,0,12604,104683,186102,334580,483058,643166,814906,975013,1437076,1899136,2535660,3265230,4239047,4908026,5577004,6245983,6914961,7583940,10683505,11224539,11296236,0,0,0,104683,186102,334580,483058,643166,907803,1172439,1437076,1899136,2535660,3265230,4239047,4908026,5577004,6245983,6914961,7583940,10683505,11224539,11296236,0,0,0,104683,186102,334580,483058,643166,1025859,1408551,2066623,2724691,3626590,4658529,6031826,6984785,7937744,8890702,9843661,10796620,11936248,12067021,12093690
IRL_Heating,IRL,5000,D_GBR_HEAT,0,0,0,0,0,50183,171106,509336,867717,1257815,1593357,1940386,2283900,2609366,2946150,3237029,3527907,3818786,4109664,4400543,5817755,6827519,7630263,0,0,0,0,0,50183,171106,509336,870676,1232017,1593357,1940386,2283900,2609366,2946150,3237029,3527907,3818786,4109664,4400543,5817755,6827519,7630263,0,0,0,0,0,50183,171106,509336,883576,1257815,1593357,1940386,2283900,2609366,2946150,3237029,3527907,3818786,4109664,4400543,5817755,6827519,7630263
IRL_Households_and_services,IRL,5000,D_IRL_RES,0,0,24492562,30062370,29966949,29611266,29135932,28560514,28223281,28027354,27660074,27700171,27903109,28223617,28650667,29699598,30748529,31797461,32846392,33895323,40092394,42866498,43175390,0,0,0,30062370,29966949,29611266,29135932,28560514,28260367,27960221,27660074,27666755,27754856,27901743,28101900,28588151,29074402,29560653,30046904,30533155,33440617,34598603,34523981,0,0,0,30062370,29966949,29611266,29135932,28560514,28293934,28027354,27660074,27700171,27903109,28223617,28650667,29699598,30748529,31797461,32846392,33895323,40092394,42866498,43175390
IRL_Industry,IRL,5000,D_IRL_RES,0,0,5003117,8086683,8612242,9816163,10723514,11491837,12163298,12697326,13391986,13910504,14332939,14703357,15084280,15264424,15444568,15624713,15804857,15985001,16303160,16459417,16582869,0,0,0,8086683,8612242,9816163,10723514,11491837,11284779,11077722,10870664,11088442,11265865,11421440,11581428,11657089,11732749,11808410,11884070,11959731,12093357,12158985,12210835,0,0,0,8086683,8612242,9816163,10723514,11491837,13281627,15071416,16217605,17073160,17770178,18381368,19009891,19307129,19604367,19901605,20198843,20496081,21021042,21278867,21482562
ITA_CALA_Total,ITA_CALA,5000,D_ITASUD_RES,0,0,0,0,0,6227043,6226337,6225632,6224926,6223515,6192004,6160493,6128982,6097471,6065960,6121762,6177564,6233366,6289168,6344971,6641243,6875505,7016023,0,0,0,0,0,6227043,6226337,6225632,6179098,6132564,6088689,6044814,6000939,5957064,5913189,5951936,5990683,6029430,6068177,6106924,6300659,6492232,6588004,0,0,0,0,0,6227043,6226337,6225632,6320152,6362943,6355678,6348414,6341149,6333885,6326620,6392762,6458905,6525047,6591189,6657331,7005305,7352096,7507556
