Description,Zone,Response_Price,Profile,REF_2016,REF_2017,REF_2018,REF_2019,REF_2020,REF_2021,REF_2022,REF_2023,REF_2024,REF_2025,REF_2026,REF_2027,REF_2028,REF_2029,REF_2030,REF_2031,REF_2032,REF_2033,REF_2034,REF_2035,REF_2040,REF_2045,REF_2050,HIG_2016,HIG_2017,HIG_2018,HIG_2019,HIG_2020,HIG_2021,HIG_2022,HIG_2023,HIG_2024,HIG_2025,HIG_2026,HIG_2027,HIG_2028,HIG_2029,HIG_2030,HIG_2031,HIG_2032,HIG_2033,HIG_2034,HIG_2035,HIG_2040,HIG_2045,HIG_2050,LOW_2016,LOW_2017,LOW_2018,LOW_2019,LOW_2020,LOW_2021,LOW_2022,LOW_2023,LOW_2024,LOW_2025,LOW_2026,LOW_2027,LOW_2028,LOW_2029,LOW_2030,LOW_2031,LOW_2032,LOW_2033,LOW_2034,LOW_2035,LOW_2040,LOW_2045,LOW_2050
NO4_Industry_2,NO4,5000,D_NO4_NONIND,0,0,0,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,0,0,0,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,0,0,0,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390
NO4_Transport_2,NO4,5000,D_NO4_NONIND,0,0,0,0,1325,19394,38153,58239,79583,102278,127064,153756,181971,211643,242736,258816,275868,294272,313535,333543,445176,563274,684282,0,0,0,0,1325,19394,38153,58239,79583,102278,127064,153756,181971,211643,242736,258816,275868,294272,313535,333543,445176,563274,684282,0,0,0,0,1325,19394,38153,58239,79583,102278,127064,153756,181971,211643,242736,258816,275868,294272,313535,333543,445176,563274,684282
NO5_Transport_1,NO5_EV,5000,D_DEFAULT_EV,0,0,0,0,111281,159208,198171,237942,277868,318660,360644,402941,444773,486677,529057,567938,603622,635155,662460,685239,742583,740981,688044,0,0,0,0,111281,159208,198171,237942,277868,318660,360644,402941,444773,486677,529057,567938,603622,635155,662460,685239,742583,740981,688044,0,0,0,0,111281,159208,198171,237942,277868,318660,360644,402941,444773,486677,529057,567938,603622,635155,662460,685239,742583,740981,688044
NO5_Industry,NO5,5000,D_DEFAULT_Flat,0,0,0,8149000,8397313,8397313,8397313,8558879,9066752,10935386,10916379,12122863,12186613,12250363,12989174,13754518,14593535,14561320,14532031,14410055,14193335,13481062,12747723,0,0,0,8149000,8397313,8397313,8397313,8558879,9066752,10935386,10916379,12122863,12186613,12250363,12314113,12345088,12376062,12407037,12438012,12468986,12519986,12519986,12519986,0,0,0,8149000,8397313,8397313,8397313,8558879,9118793,11158787,12040992,14763379,14947011,14615149,14519012,14497325,14594357,14561556,14532098,14410072,14193335,13594931,12975460
NO5_Households_and_services,NO5,5000,D_NO5_NONIND,0,0,0,7206856,7193212,7180388,7168384,7157199,7146833,7137286,7128559,7120652,7113565,7107299,7101854,7097232,7093434,7090459,7088310,7086987,7092827,7119587,7167557,0,0,0,7206856,7193212,7180388,7168384,7157199,7146833,7137286,7128559,7120652,7113565,7107299,7101854,7097232,7093434,7090459,7088310,7086987,7092827,7119587,7167557,0,0,0,7206856,7193212,7180388,7168384,7157199,7146833,7137286,7128559,7120652,7113565,7107299,7101854,7097232,7093434,7090459,7088310,7086987,7092827,7119587,7167557
NO5_Transport_2,NO5,5000,D_NO5_NONIND,0,0,0,0,86231,118036,148596,180810,213347,246241,280436,315563,350989,386652,422444,436277,450433,465314,480277,495181,569392,632431,684776,0,0,0,0,86231,118036,148596,180810,213347,246241,280436,315563,350989,386652,422444,436277,450433,465314,480277,495181,569392,632431,684776,0,0,0,0,86231,118036,148596,180810,213347,246241,280436,315563,350989,386652,422444,436277,450433,465314,480277,495181,569392,632431,684776
POL_Transport_1,POL_EV,5000,D_DEFAULT_EV,26963,28678,30102,35095,99208,163321,469555,998242,1527076,2320248,2829868,6065548,9139444,12059645,14833836,17218621,19603406,21988190,24372975,26757760,35984264,43123558,48647807,26818,28510,29972,35095,99208,163321,469555,998242,1659245,2320248,2829868,6065548,9139444,12059645,14833836,17218621,19603406,21988190,24372975,26757760,35984264,43123558,48647807,26818,28510,29972,35095,99208,163321,469555,998242,2630364,4262485,5188096,11064991,16648042,21951940,26990643,31322076,35653509,39984941,44316374,48647807,56385769,60954958,63653019
POL_Heating,POL,5000,D_POL_HEAT,539,649,578,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,536,645,575,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,536,645,575,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356
POL_Households_and_services,POL,5000,D_POL_RES,84492926,84312416,86182351,85924860,85824860,86124860,88024860,89224860,90024860,90524860,91124860,89624860,88724860,88224860,88024860,89564860,91104860,92644860,94184860,95724860,104824860,95174860,85524860,84037206,83819338,85809121,85924860,85824860,86124860,88024860,89224860,88974860,88724860,89224860,87624860,86624860,86024860,85724860,86524860,87324860,88124860,88924860,89724860,95424860,90774860,86124860,84037206,83819338,85809121,85924860,85824860,86124860,88024860,89224860,91149860,93074860,94184860,93194860,92804860,92814860,93124860,94304860,95484860,96664860,97844860,99024860,106324860,104174860,102024860
POL_Industry,POL,5000,D_POL_RES,65219437,68509536,70399191,71376877,68866877,71406877,72276877,73656877,75396877,77346877,79536877,81096877,82296877,83286877,84186877,85026877,85866877,86706877,87546877,88386877,96696877,105861877,115026877,65036263,68302957,70240541,71376877,68866877,71406877,72276877,73656877,74166877,74676877,76026877,76746877,77016877,77076877,76986877,77316877,77646877,77976877,78306877,78636877,82926877,85941877,88956877,65036263,68302957,70240541,71376877,68866877,71406877,72276877,73656877,76726877,79796877,82476877,84526877,86216877,87696877,89086877,90416877,91746877,93076877,94406877,95736877,106496877,118111877,129726877
POL_Transport_2,POL,5000,D_POL_RES,3518134,3570185,3680694,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3499159,3549305,3664754,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3499159,3549305,3664754,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128
PRT_Households_and_services,PRT,5000,D_ESP_RES,34129687,33949010,34980613,34477600,34477600,33477600,32477600,31477600,30477600,29477600,28477600,27477600,26477600,25477600,24477600,25277600,26077600,26877600,27677600,28477600,32477600,34477600,36477600,33701196,33489801,34540804,34477600,34477600,33477600,32477600,31477600,30477600,29477600,28477600,27477600,26477600,25477600,24477600,25277600,26077600,26877600,27677600,28477600,32477600,34477600,36477600,33701196,33489801,34540804,34477600,34477600,33477600,32477600,31477600,30477600,29477600,28477600,27477600,26477600,25477600,24477600,25277600,26077600,26877600,27677600,28477600,32477600,34477600,36477600
PRT_Industry,PRT,5000,D_ESP_RES,17644846,18263281,18424111,18725079,18160079,18866829,19008579,19150329,19292079,19433829,19575579,19717329,19859079,20000829,20142579,20483829,20825079,21166329,21507579,21848829,23555079,27035079,30515079,17550815,18158897,18324794,18725079,18160079,18866829,19008579,19150329,19040079,19118829,19197579,19276329,19355079,19433829,19512579,19819329,20126079,20432829,20739579,21046329,22580079,25287579,27995079,17550815,18158897,18324794,18725079,18160079,18866829,19008579,19150329,19541079,19745079,19949079,20153079,20357079,20561079,20765079,21140079,21515079,21890079,22265079,22640079,24515079,28767579,33020079
PRT_Transport_1,PRT,5000,D_ESP_RES,484785,546686,546271,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,478699,539292,539403,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,478699,539292,539403,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241
PRT_Transport_2,PRT_EV,5000,D_DEFAULT_EV,1126,2412,6011,13238,370382,1203382,2036382,2869382,3702382,4535382,5368382,6201382,7034382,7867382,8700382,9473382,10246382,11019382,11792382,12565382,16430382,16835382,17240382,1112,2379,5935,13238,370382,1203382,2036382,2869382,3702382,4535382,5368382,6201382,7034382,7867382,8700382,9461382,10222382,10983382,11744382,12505382,16310382,16495382,16680382,1112,2379,5935,13238,370382,1203382,2036382,2869382,3702382,4535382,5368382,6201382,7034382,7867382,8700382,9486382,10272382,11058382,11844382,12630382,16560382,17180382,17800382
PRT_Heating,PRT,5000,D_ESP_HEAT,0,0,0,0,0,60000,120000,180000,240000,300000,334000,368000,402000,436000,470000,485559,501118,516677,532236,547795,566256,570637,571677,0,0,0,0,0,60000,120000,180000,240000,300000,334000,368000,402000,436000,470000,485559,501118,516677,532236,547795,566256,570637,571677,0,0,0,0,0,60000,120000,180000,240000,300000,334000,368000,402000,436000,470000,485559,501118,516677,532236,547795,566256,570637,571677
SE1_Transport,SE1_EV,5000,D_DEFAULT_EV,0,0,0,7571,17431,22464,29282,50251,71221,92190,132872,173554,214236,254918,295599,341170,386740,432310,477881,523451,773316,873421,984531,0,0,0,7571,17431,22464,29282,50251,71221,92190,108468,124746,141024,157302,173580,193645,213710,233774,253839,273904,407507,549081,686396,0,0,0,7571,17431,22464,29282,50251,71221,92190,132872,173554,214236,254918,295599,341170,386740,432310,477881,523451,773316,873421,984531
SE1_Industry,SE1,5000,D_DEFAULT_Flat,0,0,4402915,5538219,5538219,7330329,7797162,8930827,9730827,11985442,13363388,14741334,16119280,17497225,18875171,19614004,20352836,21091669,21830502,22569334,26263498,29957661,30251825,0,0,0,5538219,5538219,7330329,7797162,8930827,9730827,11930101,13296979,14663857,16030735,17397611,18764489,19016254,19268019,19519783,19771547,20023312,21282135,22540957,22779781,0,0,0,5538219,5538219,7330329,7797162,8930827,9730827,12040783,13429797,14818811,16207825,17596838,18985852,19735754,20485654,21235555,21985456,22735356,26484862,30234365,30583869
SE1_Heating,SE1,5000,D_SE1_HEAT,0,0,0,210,245,1475,2729,4009,5314,6645,8002,9387,10800,12240,15936,19632,23328,27025,30721,34417,60844,62065,62065,0,0,0,210,245,1475,2729,4009,5314,6645,8002,9387,10800,12240,15936,19632,23328,27025,30721,34417,60844,62065,62065,0,0,0,210,245,1475,2729,4009,5314,6645,8002,9387,10800,12240,15936,19632,23328,27025,30721,34417,60844,62065,62065
SE1_Households_and_services,SE1,5000,D_SE1_NONIND,0,0,4685237,4117770,4417370,4036316,4041672,4022743,4003814,3984886,3950517,3916148,3881779,3847410,3813041,3815612,3818184,3820755,3823327,3825898,3778253,3797265,3860175,0,0,0,4117770,4417370,4036316,4041672,4022743,4003814,3984886,3964827,3944768,3924709,3904650,3884591,3883928,3883265,3882602,3881939,3881277,3788809,3769757,3869535,0,0,0,4117770,4417370,4036316,4041672,4022743,4003814,3984886,3950517,3916148,3881779,3847410,3813041,3815612,3818184,3820755,3823327,3825898,3778253,3797265,3860175
SE2_Transport,SE2_EV,5000,D_DEFAULT_EV,0,0,0,26489,60987,45679,59544,102184,144824,187464,270189,352913,435638,518363,601087,693752,786417,879082,971747,1064412,1572501,1776060,2001997,0,0,0,26489,60987,45679,59544,102184,144824,187464,220565,253665,286766,319867,352968,393768,434569,475369,516170,556970,828646,1116530,1395753,0,0,0,26489,60987,45679,59544,102184,144824,187464,270189,352913,435638,518363,601087,693752,786417,879082,971747,1064412,1572501,1776060,2001997
SE2_Industry,SE2,5000,D_DEFAULT_Flat,0,0,10399261,13080739,13080739,9692374,9716244,9712625,9700246,9687867,10180912,10673957,11167003,11660048,12153093,12268176,12383259,12498342,12613424,12728507,12838574,13456032,14380881,0,0,0,13080739,13080739,9692374,9716244,9712625,9700246,9687867,9904609,10121352,10338095,10554837,10771580,10810938,10850296,10889655,10929013,10968372,11126838,11739853,11993894,0,0,0,13080739,13080739,9692374,9716244,9712625,9700246,9687867,10209407,10730946,11252486,11774026,12295566,12396949,12498332,12599715,12701098,12802481,13161335,13955239,14691556
SE2_Heating,SE2,5000,D_SE2_HEAT,0,0,0,273,404,2430,4497,6605,8755,10948,13185,15466,17794,20167,26257,32347,38436,44526,50615,56705,100247,102259,102259,0,0,0,273,404,2430,4497,6605,8755,10948,13185,15466,17794,20167,26257,32347,38436,44526,50615,56705,100247,102259,102259,0,0,0,273,404,2430,4497,6605,8755,10948,13185,15466,17794,20167,26257,32347,38436,44526,50615,56705,100247,102259,102259
SE2_Households_and_services,SE2,5000,D_SE2_NONIND,0,0,7719435,6784471,3884771,7098588,7108007,7074717,7041427,7008138,6947694,6887250,6826806,6766362,6705918,6710440,6714963,6719485,6724008,6728530,6644737,6678172,6788812,0,0,0,6784471,3884771,7098588,7108007,7074717,7041427,7008138,6972860,6937583,6902305,6867028,6831751,6830585,6829419,6828254,6827088,6825923,6663301,6629796,6805272,0,0,0,6784471,3884771,7098588,7108007,7074717,7041427,7008138,6947694,6887250,6826806,6766362,6705918,6710440,6714963,6719485,6724008,6728530,6644737,6678172,6788812
SE3_Transport,SE3_EV,5000,D_DEFAULT_EV,0,0,0,153186,352686,385715,502794,862848,1222902,1582956,2281489,2980022,3678555,4377087,5075620,5858089,6640558,7423027,8205496,8987965,13278296,14997165,16904985,0,0,0,153186,352686,385715,502794,862848,1222902,1582956,1862461,2141966,2421470,2700975,2980480,3325002,3669525,4014047,4358569,4703092,6997138,9428051,11785828,0,0,0,153186,352686,385715,502794,862848,1222902,1582956,2281489,2980022,3678555,4377087,5075620,5858089,6640558,7423027,8205496,8987965,13278296,14997165,16904985
SE3_Industry,SE3,5000,D_DEFAULT_Flat,0,0,18908436,23784029,23784029,31704772,31752511,31622793,31493075,32749596,34848273,36500189,38152105,39804021,41455938,41719188,41982440,42245691,42508943,42772194,41836425,42780683,43850465,0,0,0,23784029,23784029,31704772,31752511,31622793,31493074,32749597,33957301,34718246,35479191,36240135,37001080,37035050,37069021,37102991,37136961,37170932,36560509,37613276,37038645,0,0,0,23784029,23784029,31704772,31752511,31622793,31493075,32749597,34940157,36683957,38427757,40171557,41915357,42133806,42352254,42570703,42789151,43007600,42831237,44283795,44612494
SE3_Heating,SE3,5000,D_SE3_HEAT,0,0,0,2670,3338,20063,37122,54524,72272,90376,108841,127676,146888,166484,216755,267026,317296,367567,417837,468108,827554,844159,844159,0,0,0,2670,3338,20063,37122,54524,72272,90376,108841,127676,146888,166484,216755,267026,317296,367567,417837,468108,827554,844159,844159,0,0,0,2670,3338,20063,37122,54524,72272,90376,108841,127676,146888,166484,216755,267026,317296,367567,417837,468108,827554,844159,844159
SE3_Households_and_services,SE3,5000,D_SE3_NONIND,0,0,63724832,56006594,65807794,56764804,56840126,56573920,56307713,56041507,55558159,55074811,54591463,54108114,53624766,53660931,53697095,53733260,53769424,53805589,53135524,53402894,54287638,0,0,0,56006594,65807794,56764804,56840126,56573920,56307713,56041507,55759407,55477307,55195207,54913106,54631006,54621685,54612364,54603043,54593722,54584401,53283974,53016047,54419268,0,0,0,56006594,65807794,56764804,56840126,56573920,56307713,56041507,55558159,55074811,54591463,54108114,53624766,53660931,53697095,53733260,53769424,53805589,53135524,53402894,54287638
SE4_Transport,SE4_EV,5000,D_DEFAULT_EV,0,0,0,73753,169805,112326,144719,272659,400598,528537,761771,995006,1228241,1461475,1694710,1955970,2217231,2478491,2739751,3001012,4433520,5007437,5644443,0,0,0,73753,169805,112326,144719,272659,400598,528537,621861,715186,808510,901835,995159,1110192,1225226,1340259,1455292,1570326,2336290,3147953,3935197,0,0,0,73753,169805,112326,144719,272659,400598,528537,761771,995006,1228241,1461475,1694710,1955970,2217231,2478491,2739751,3001012,4433520,5007437,5644443
SE4_Industry,SE4,5000,D_DEFAULT_Flat,0,0,8853988,11137014,11137014,9107072,9150767,9221785,9292805,9363823,9777208,10190594,10603980,11017365,11430751,11490084,11549418,11608751,11668084,11727417,11483339,11745779,12135680,0,0,0,11137014,11137014,9107072,9150767,9221785,9292804,9363823,9517350,9670876,9824403,9977929,10131456,10126328,10121200,10116073,10110945,10105818,9952354,10247755,10120714,0,0,0,11137014,11137014,9107072,9150767,9221785,9292804,9363823,9804008,10244191,10684376,11124560,11564744,11610910,11657074,11703239,11749405,11795569,11772017,12181529,12398812
SE4_Heating,SE4,5000,D_SE4_HEAT,0,0,0,768,1241,7462,13807,20280,26881,33615,40482,47488,54634,61922,80620,99318,118016,136713,155411,174109,307801,313977,313977,0,0,0,768,1241,7462,13807,20280,26881,33615,40482,47488,54634,61922,80620,99318,118016,136713,155411,174109,307801,313977,313977,0,0,0,768,1241,7462,13807,20280,26881,33615,40482,47488,54634,61922,80620,99318,118016,136713,155411,174109,307801,313977,313977
SE4_Households_and_services,SE4,5000,D_SE4_NONIND,0,0,23701897,20831165,13630065,16592689,16550096,16404848,16259601,16114353,15975369,15836386,15697402,15558419,15419435,15429834,15440233,15450632,15461031,15471430,15278757,15355637,15610040,0,0,0,20831165,13630065,16592689,16550096,16404848,16259601,16114353,16033237,15952121,15871005,15789889,15708773,15706093,15703412,15700732,15698052,15695372,15321443,15244402,15647889,0,0,0,20831165,13630065,16592689,16550096,16404848,16259601,16114353,15975369,15836386,15697402,15558419,15419435,15429834,15440233,15450632,15461031,15471430,15278757,15355637,15610040
SVK_Transport_1,SVK_EV,5000,D_DEFAULT_EV,26649,26481,25377,26042,15070,29777,44485,59193,73900,88608,103315,118023,132731,147438,162146,391388,620630,849872,1079115,1308357,2454568,3600778,4746989,26543,26394,25299,26042,15070,29777,44485,59193,73900,88608,103315,118023,132731,147438,162146,391388,620630,849872,1079115,1308357,2454568,3600778,4746989,26543,26394,25299,26042,15070,29777,44485,59193,73900,88608,103315,118023,132731,147438,162146,697842,1233538,1769234,2304930,2840626,4422242,5356171,5907646
SVK_Heating,SVK,5000,D_SVK_RES,17056,24363,35951,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,16987,24282,35840,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,16987,24282,35840,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978,37978
SVK_Households_and_services,SVK,5000,D_SVK_RES,13106182,13623001,13273445,13472286,13777786,15177786,14977786,14877786,14777786,14777786,14677786,14777786,14777786,14777786,14777786,14877786,14977786,15077786,15177786,15277786,15777786,16177786,16577786,13053805,13578099,13232235,13472286,13777786,15177786,14977786,14877786,14627786,14377786,14377786,14377786,14377786,14277786,14277786,14377786,14477786,14577786,14677786,14777786,15077786,15377786,15677786,13053805,13578099,13232235,13472286,13777786,15177786,14977786,14877786,15027786,15177786,15077786,15077786,15177786,15177786,15177786,15117786,15057786,14997786,14937786,14877786,15477786,16477786,17577786
SVK_Industry,SVK,5000,D_SVK_RES,13543715,14033917,14209857,13664647,13368780,14599147,15229147,15824147,16349147,16874147,17399147,17924147,18449147,18939147,19464147,19625147,19786147,19947147,20108147,20269147,21319147,22579147,24084147,13523475,14016701,14191925,13664647,13368780,14599147,15229147,15824147,16016647,16209147,16559147,16839147,17119147,17364147,17644147,17749147,17854147,17959147,18064147,18169147,18834147,19639147,20689147,13523475,14016701,14191925,13664647,13368780,14599147,15229147,15824147,16699147,17574147,18309147,19009147,19744147,20479147,21249147,21361147,21473147,21585147,21697147,21809147,22719147,24154147,26184147
SVK_Transport_2,SVK,5000,D_SVK_RES,620398,594239,596369,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,617919,592280,594518,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,617919,592280,594518,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048,549048
SVN_Transport_1,SVN_EV,5000,D_DEFAULT_EV,0,942,1142,2136,12982,170736,320602,462975,598229,726721,848788,964751,1074917,1179574,1278998,1364467,1449935,1535403,1620872,1706340,2037008,2292874,2490857,0,936,1135,2136,12982,170736,320602,462975,598229,726721,848788,964751,1074917,1179574,1278998,1364467,1449935,1535403,1620872,1706340,2037008,2292874,2490857,0,936,1135,2136,12982,170736,320602,462975,883997,1305018,1491322,1658996,1809902,1945718,2067952,2158053,2248154,2338255,2428356,2518457,2784475,2941557,3034312
SVN_Households_and_services,SVN,5000,D_SVN_RES,7202016,7434192,7548141,7505255,5265255,5465255,5665255,5865255,6065255,6265255,6465255,6665255,6865255,7065255,7265255,7365255,7465255,7565255,7665255,7765255,8165255,8365255,8765255,7154727,7387340,7504364,7505255,5265255,5465255,5665255,5865255,5945255,6115255,6285255,6455255,6625255,6795255,6965255,7145255,7325255,7505255,7665255,7765255,8165255,8265255,8465255,7154727,7387340,7504364,7505255,5265255,5465255,5665255,5865255,6240255,6615255,6885255,7155255,7425255,7695255,7965255,7985255,8005255,8025255,8045255,8065255,8465255,8565255,8865255
SVN_Industry,SVN,5000,D_SVN_RES,6613526,6829168,6887105,6879537,6657853,6777537,6675537,6573537,6471537,6369537,6351537,6333537,6315537,6297537,6279537,6303537,6327537,6351537,6375537,6399537,6669537,7029537,7599537,6596723,6812435,6870662,6879537,6657853,6777537,6675537,6573537,6423537,6309537,6279537,6249537,6219537,6189537,6159537,6189537,6219537,6249537,6279537,6309537,6669537,7029537,7509537,6596723,6812435,6870662,6879537,6657853,6777537,6675537,6573537,6539037,6504537,6513537,6522537,6531537,6540537,6549537,6603537,6657537,6711537,6765537,6819537,7209537,7689537,8319537
SVN_Transport_2,SVN,5000,D_SVN_RES,180458,251614,250981,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,179273,250029,249525,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,179273,250029,249525,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100,247100
